Field,Value
Company Name,Infosys Limited
Industry,Technology Services / IT Consulting
Headquarters,"Bengaluru, India"
Founded,1981
Revenue FY24,18.5 Billion USD
Employees,300000+

Business Model Type,B2B IT Services and Consulting
Primary Revenue,Time & Material contracts; Fixed-price projects; Managed Services
Key Revenue Segments,Financial Services; Retail & CPG; Manufacturing; Energy; Hi-tech; Communications

Core Services,"Application Development & Maintenance (ADM)"
Core Services 2,"Cloud Migration and Infrastructure Management"
Core Services 3,Digital Transformation Consulting
Core Services 4,Business Process Outsourcing (BPO)
Core Services 5,AI/ML and Data Analytics Services
Core Services 6,SAP and ERP implementations
Core Services 7,Cybersecurity Services

Key Platforms,"Infosys Cobalt (Cloud platform)"
Key Platforms 2,"Infosys Topaz (AI platform)"
Key Platforms 3,"Infosys Wingspan (Learning management)"
Key Platforms 4,Finacle (Core banking software for banks globally)

Customer Segments,Fortune 500 enterprises globally
Delivery Model,Global delivery model with nearshore/offshore centers
Key Geographies,"North America (62%), Europe (24%), India (10%), RoW"

Strategic Focus,AI-first transformation
Strategic Focus 2,Cloud-first delivery
Strategic Focus 3,Generative AI adoption in client engagements
Strategic Focus 4,Talent reskilling (AI/cloud/digital skills)
Strategic Focus 5,Partnerships: Microsoft Azure; AWS; Google Cloud; SAP

Competitive Differentiation,IP-led differentiation via Cobalt and Topaz platforms
Competitive Differentiation 2,Scale + cost arbitrage with 300K talent pool
Competitive Differentiation 3,Deep domain expertise in BFSI and manufacturing
Competitive Differentiation 4,Strong client retention (84.7% revenue from existing clients)

Operating Model,Hybrid offshore-onshore with agile delivery pods
